name,type,loc,website,open_time,address,number,reviews,star_rating,tour,review_category
Chinatown,Monuments,"San Francisco, CA", http://www.sanfranciscochinatown.com/,9:00 AM - 10:00 PM,"Local Flavor - Grant Ave And Bush St, San Francisco, CA  ",No Phone Number Available,"7,063",4,No ,1000+
Golden Gate Park,Parks,"San Francisco, CA", https://goldengatepark.com/,Open 24 hours,"501 Stanyan St San Francisco, CA 94117",14158312700,"41,551",5,No,1000+
Muir Woods,Parks,"San Francisco, CA",https://www.nps.gov/muwo/index.htm,8:00 AM - 6:00 PM,"Mill Valley, CA 94941",14155612850,"12,639",5,Yes,1000+
Golden Gate National Recreation Area,Parks,"San Francisco, CA",https://www.nps.gov/goga/index.htm ,10:00 AM - 5:00 PM,"Mill Valley, CA 94941
",14155614700,"16,661",5,No,1000+
Oracle Park,Parks,"San Francisco, CA",https://www.mlb.com/giants/ballpark ,10:00 AM - 6:00 PM,"24 Willie Mays Plaza, San Francisco, CA 94107 ",14159722000,"21,383",5,No,1000+
Sam Wo Restaurant,Restaurant,"San Francisco, CA",http://www.samworestaurant.com/,11:00 AM - 8:00 PM,"713 Clay St, San Francisco, CA 94108",14159898898,961,4,No,500-1000
Lucca Delicatessen,Restaurant,"San Francisco, CA",http://www.luccadeli.com/ ,9:00 AM - 6:00 PM,"2120 Chestnut St, San Francisco, CA 94123",14159217873,259,5,No ,100-500
Sotto Mare,Restaurant,"San Francisco, CA",http://sottomaresf.com/,11:30 AM - 9:00 PM,"552 Green St, San Francisco, CA 94133",14153983181,2556,5,No,1000+
House of Prime Rib,Restaurant,"San Francisco, CA",http://houseofprimerib.net/#menu ,9:00 AM - 5:00 PM,"1906 Van Ness Ave, San Francisco, CA 94109",No Phone Number Available,4490,5,No,1000+
Hyatt Regency,Hotels,"San Francisco, CA",https://www.hyatt.com/en-US/hotel/california/hyatt-regency-san-francisco/sfors?src=corp_lclb_gmb_seo_sfors,Open 24 Hours,"5 Embarcadero Ctr, San Francisco, CA 94111",14157881234,5877,5,No,1000+
InterContinental,Hotels,"San Francisco, CA",https://www.ihg.com/intercontinental/hotels/us/en//san-francisco/sfohb/hoteldetail,Open 24 Hours,"888 Howard St, San Francisco, CA 94103",14156166500,3666,4,No,1000+
The Westin St Francis,Hotels,"San Francisco, CA",https://www.marriott.com/hotels/travel/sfouw-the-westin-st-francis-san-francisco-on-union-square/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2y_source=1_MTUwMjgwMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Open 24 Hours,"335 Powell St, San Francisco, CA 94102",14153977000,4520,4,No,1000+
Four Seasons Hotel,Hotels,"San Francisco, CA",https://www.fourseasons.com/sanfrancisco/?seo=google_local_sfr1_amer,Open 24 Hours,"757 Market St, San Francisco, CA 94103",14156333000,1442,5,No,1000+
San Francisco Modern Musuem of Art,Galleries,"San Francisco, CA",https://www.sfmoma.org/,10:00 AM - 6:00 PM,"151 3rd St, San Francisco, CA 94103",14153574000,11865,5,No,1000+
Legion of Honor,Galleries,"San Francisco, CA",https://legionofhonor.famsf.org/,9:30 AM - 5:15 PM,"100 34th Ave, San Francisco, CA 94121",14157503600,2387,5,No,1000+
Palace of Fine Arts,Galleries,"San Francisco, CA",http://www.palaceoffinearts.com/,10:00 AM - 5:00 PM,"3601 Lyon St, San Francisco, CA 94123",14153761704,18210,5,Yes,1000+
California Academy of Sciences,Galleries,"San Francisco, CA",https://www.calacademy.org/,9:30 AM - 5:00 PM,"55 Music Concourse Dr, San Francisco, CA 94118",14153798000,3662,5,Yes,1000+
Westfield San Francisco Centre,Shopping,"San Francisco, CA",http://www.westfield.com/sanfrancisco/,10:00 AM - 7:00 PM ,"865 Market St, San Francisco, CA 94103",14155126776,17533,4,No,1000+
Metreon,Shopping,"San Francisco, CA",http://www.shoppingmetreon.com/?utm_source=googleutm_medium=organicutm_campaign=GMButm_content=SW21_METREON,11:00 AM - 6:00 PM,"135 4th St, San Francisco, CA 94103",14153696000,6184,4,No,1000+
Crocker Galleria,Shopping,"San Francisco, CA",https://unionsquareshop.com/stores/crocker-galleria.html,6:00 AM - 7:00 PM,"50 Post St, San Francisco, CA 94104",14153931500,837,4,No,500-1000
Japan Center Malls,Shopping,"San Francisco, CA",https://www.sfjapantown.org/japan-center-malls/,8:30 AM - 10:00 PM,"1737 Post St, San Francisco, CA 94115",14154401171,5163,5,No,1000+
Los Altos Grill,Restaurant,"Los Altos, CA",http://www.losaltosgrill.com/,4:00 PM - 9:00 PM,"233 3rd St, Los Altos, CA 94022",16509483524,1112,5,No,1000+
Rustic House Oyster Grill,Restaurant,"Los Altos, CA",http://rustichouselosaltos.com/,11:00 AM - 8:30 PM,"295 Main St, Los Altos, CA 94022",16509352129,532,4,No,500-1000
Cetrella,Restaurant,"Los Altos, CA",http://www.cetrella.com/,5:00 PM - 8:30 PM,"400 Main St, Los Altos, CA 94022",16509480400,384,4,No,100-500
The Post,Restaurant,"Los Altos, CA",http://thepostlosaltos.com/,11:30 AM - 9:00 PM,"395 Main St, Los Altos, CA 94022",16509352003,445,4,No,100-500
Los Altos History Museum,Monuments,"Los Altos, CA",http://www.losaltoshistory.org/,12:00 PM - 4:00 PM,"51 S San Antonio Rd, Los Altos, CA 94022",16509489427,164,5,Yes,100-500
Alta Mesa Memorial Park,Monuments,"Los Altos, CA",http://www.altamesacemetery.com/,8:00 AM - 6:00 PM,"695 Arastradero Rd, Palo Alto, CA 94306",16504931041,66,4,Yes,10-100
Gate of Heaven Catholic Cemetery,Monuments,"Los Altos, CA",https://www.catholiccemeteriesdsj.org/,8:00 AM - 5:00 PM,"22555 Cristo Rey Dr, Los Altos, CA 94024",16504283730,31,4,No,10-100
Paul Shoup House,Monuments,"Los Altos, CA",http://www.losaltosca.gov/recreation/page/patriot-corner-picnic-area-shoup-park,8:00 AM - 8:00 PM,"500 University Ave, Los Altos, CA 94022",16509472790,634,5,No,500-1000
Shoup Park,Parks,"Los Altos, CA",http://www.losaltosca.gov/recreation/page/patriot-corner-picnic-area-shoup-park,8:00 AM - 8:00 PM,"400 University Ave, Los Altos, CA 94022",16509472790,634,5,No,500-1000
Grant Park,Parks,"Los Altos, CA",http://www.losaltosca.gov/recreation/page/grant-park-community-center,6:00 AM - 9:00 PM,"1575 Holt Ave, Los Altos, CA 94024",16509472790,217,4,No,100-500
Heritage Oaks Park,Parks,"Los Altos, CA",http://www.losaltosca.gov/recreation/page/heritage-oaks-park,7:00 AM - 9:00 PM,"Miramonte Ave , Portland Ave, Los Altos, CA 94024",16509472790,175,5,No,100-500
Rosita Park,Parks,"Los Altos, CA",http://www.losaltosca.gov/recreation,Open 24 Hours,"401 Rosita Ave, Los Altos, CA 94024",16509472790,63,5,No,10-100
Nature Gallery,Galleries,"Los Altos, CA",http://www.nature-gallery.com/,10:00 AM - 8:00 PM,"296 State St, Los Altos, CA 94022",16503278700,18,5,No,10-100
Gallery 9,Galleries,"Los Altos, CA",http://gallery9losaltos.com/,11:00 AM - 5:00 PM,"143 Main St, Los Altos, CA 94022",16509417969,6,3,No,1-10
Viewpoints Art Gallery,Galleries,"Los Altos, CA",http://www.viewpointsgallery.com/,11:00 AM - 5:00 PM," 315 State St, Los Altos, CA 94022",16509415789,4,5,No,1-10
Peabody Fine Art Gallery and Framing,Galleries,"Los Altos, CA",https://peabodygallery.com/,10:00 AM - 6:00 PM,"603 Santa Cruz Ave, Menlo Park, CA 94025",1650322200,41,5,No,10-100
Enchante Boutique Hotel,Hotels,"Los Altos, CA",https://www.enchantehotel.com/,Open 24 Hours,"1 Main St, Los Altos, CA 94022",1650946200,135,5,No,100-500
Courtyard by Mariott Palo Alto Los Altos,Hotels,"Los Altos, CA",https://www.marriott.com/hotels/travel/paocy-courtyard-palo-alto-los-altos/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2y_source=1_MTIzNjcxMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Open 24 Hours,"4320 El Camino Real, Los Altos, CA 94022",16509419900,687,4,No,500-1000
The Nest Hotel Palo Alto,Hotels,"Los Altos, CA",http://www.nestpaloalto.com/,Open 24 Hours,"3901 El Camino Real, Palo Alto, CA 94306",16504932760,241,4,No,100-500
Residence Inn by Marriott Palo Alto,Hotels,"Los Altos, CA",https://www.marriott.com/hotels/travel/paori-residence-inn-palo-alto-los-altos/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2y_source=1_MjgxOTMxOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Open 24 Hours,"4460 El Camino Real, Los Altos, CA 94022",16505597890,574,4,No,500-1000
Village Court Shopping Center,Shopping,"Los Altos, CA",http://village-center-los-altos.edan.io/,10:00 AM - 9:00 PM," 4546 El Camino Real, Los Altos, CA 94022",16509490960,412,4,No,100-500
Rancho Shopping Center ,Shopping,"Los Altos, CA",https://www.visitrancho.com/,6:00 AM - 11:00 PM,"600 Foothill Expy, Los Altos, CA 94024",16509171000,423,4,No,100-500
Foothill Crossing,Shopping,"Los Altos, CA",https://www.losaltosca.gov/communitydevelopment/page/22310-homestead-road-foothill-crossings-shopping-center,8:00 AM - 10:00 PM,"2310 Homestead Rd, Los Altos, CA 94024",16509416900,309,4,No,100-500
Loyola Corners Shopping Center,Shopping,"Los Altos, CA",https://loyalcompanion.com/pages/waystoshop,9:00 AM - 6:00 PM,"981 Fremont Ave, Los Altos, CA 94024",No Phone Number Available,40,4,No,10-100
